Food Product,all ingridients
Almond Cookies,"['Almonds', 'Butter', 'Flour']"
Almond Cookies,"['Almonds', 'Butter', 'Flour']"
Chicken Noodle Soup,"['Chicken broth', 'Salt']"
Chicken Noodle Soup,"['Chicken broth', 'Salt']"
Cheddar Cheese,"['Cheese', 'Salt']"
Ranch Dressing,"['Buttermilk', 'Vegetable oil', 'Garlic, herbs']"
Caramel Popcorn,"['Popcorn', 'Butter', 'Salt']"
Caesar Salad,"['Romaine lettuce', 'Olive oil', 'Parmesan cheese']"
Caesar Wrap,"['Grilled chicken', 'Caesar dressing', 'Lettuce, Parmesan cheese']"
Strawberry Smoothie,"['Strawberries', 'Yogurt (milk, cultures)', nan]"
Cheese Pizza,"['Cheese', 'Tomato sauce']"
Margherita Pizza,"['Cheese', 'Tomato sauce, basil']"
Mashed Potatoes,"['Potatoes', 'Butter', 'Salt, Pepper']"
Greek Yogurt,"['Yogurt (milk, cultures)', nan]"
Caesar Salad Wrap,"['Grilled chicken', 'Caesar dressing', 'Lettuce, Parmesan cheese']"
Caprese Salad,"['Tomatoes', 'Olive oil', 'Mozzarella cheese, basil']"
Berry Smoothie,"['Mixed berries', 'Yogurt (milk, cultures)', nan]"
Caesar Salad,"['Romaine lettuce', 'Olive oil', 'Caesar dressing']"
Berry Parfait,"['Mixed berries', 'Yogurt (milk, cultures)', 'Granola']"
Chicken Alfredo,"['Chicken', 'Butter', 'Cream, Parmesan cheese']"
Pesto Pizza,"['Pesto sauce', 'Mozzarella cheese, basil']"
Beef Stroganoff,"['Beef', 'Sour cream', 'Mushroom, onion']"
Banana Smoothie,"['Bananas', 'Yogurt (milk, cultures)', nan]"
Watermelon Salad,"['Watermelon', 'Feta cheese, mint']"
Chicken Parmesan,"['Chicken', 'Bread crumbs, Parmesan cheese', 'Marinara sauce']"
Mango Lassi,"['Mango', 'Yogurt (milk, cultures)', 'Cardamom']"
Greek Salad,"['Cucumbers', 'Olive oil', 'Feta cheese, olives']"
Butternut Squash Soup,"['Butternut squash', 'Butter', 'Vegetable broth']"
Margherita Pasta,"['Pasta', 'Olive oil', 'Fresh tomatoes, mozzarella']"
Greek Gyro Wrap,"['Lamb', 'Tzatziki sauce, tomatoes, onions']"
Spinach and Feta Stuffed Chicken,"['Chicken', 'Olive oil', 'Spinach, feta cheese']"
Chicken Fettuccine Alfredo,"['Chicken', 'Butter', 'Cream, Parmesan cheese']"
Caprese Sandwich,"['Tomatoes', 'Olive oil', 'Mozzarella cheese, basil']"
Mushroom Risotto,"['Mushrooms', 'Butter', 'Arborio rice, Parmesan cheese']"
Greek Yogurt Parfait,"['Greek yogurt', 'Granola, mixed berries']"
Eggplant Parmesan,"['Eggplant', 'Olive oil', 'Marinara sauce, cheese']"
Banana Pudding,"['Bananas', 'Milk', 'Vanilla pudding mix, cookies']"
Margherita Pizza,"['Pizza dough', 'Olive oil', 'Mozzarella cheese, tomatoes, basil']"
